Count of Victims,Age Group,Sex,MethodofKilling,Domestic Abuse,Recorded Year,Recorded Month,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,25 to 34,Male,Blunt Implement,Domestic Abuse,2003,Jun,Murder,Solved,Haringey,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic Abuse,2003,Jul,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Haringey,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Nov,Murder,Solved,Haringey,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic Abuse,2003,Nov,Murder,Solved,Haringey,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2003,Mar,Murder,Solved,Southwark,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,2003,Mar,Murder,Solved,Southwark,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,2003,Mar,Murder,Solved,Southwark,Black
1,65 and over,Male,Blunt Implement,Domestic Abuse,2003,Apr,Murder,Solved,Southwark,White
1,55 to 64,Male,Shooting,Not Domestic Abuse,2003,May,Murder,Solved,Southwark,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,2003,May,Murder,Unsolved,Southwark,Black
1,45 to 54,Female,"Physical Assault, no weapon",Domestic Abuse,2003,May,Murder,Solved,Southwark,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Southwark,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Southwark,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Southwark,Black
1,35 to 44,Male,"Physical Assault, no weapon",Not Domestic Abuse,2003,Sep,Murder,Solved,Southwark,White
1,55 to 64,Male,Shooting,Not Domestic Abuse,2003,Oct,Murder,Unsolved,Southwark,White
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,2003,May,Murder,Solved,Lewisham,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Jun,Murder,Solved,Lewisham,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Lewisham,Black
1,65 and over,Female,Blunt Implement,Domestic Abuse,2003,Sep,Murder,Solved,Lewisham,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Nov,Murder,Solved,Lewisham,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2003,Apr,Murder,Solved,Bromley,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Greenwich,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Domestic Abuse,2003,May,Murder,Solved,Greenwich,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,May,Murder,Solved,Greenwich,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jun,Murder,Solved,Greenwich,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2003,Jul,Murder,Solved,Greenwich,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,2003,Sep,Murder,Solved,Greenwich,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Nov,Murder,Solved,Greenwich,White
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic Abuse,2003,Dec,Murder,Solved,Greenwich,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Manslaughter,Solved,Greenwich,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Dec,Murder,Solved,Greenwich,White
1,35 to 44,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Jan,Murder,Solved,Croydon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Apr,Murder,Solved,Croydon,White
1,20 to 24,Female,Other Methods of Killing,Not Domestic Abuse,2003,May,Murder,Solved,Croydon,White
1,13 to 19,Female,Other Methods of Killing,Not Domestic Abuse,2003,Jun,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Croydon,White
1,35 to 44,Female,Blunt Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Croydon,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Croydon,Asian
1,13 to 19,Male,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Murder,Solved,Croydon,White
1,25 to 34,Female,Shooting,Not Domestic Abuse,2003,Mar,Murder,Solved,Bexley,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Murder,Solved,Sutton,White
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,2003,Jan,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,2003,Feb,Murder,Unsolved,Tower Hamlets,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2003,Apr,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,2003,May,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,2003,May,Murder,Solved,Tower Hamlets,White
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Tower Hamlets,Asian
1,65 and over,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Jul,Murder,Solved,Tower Hamlets,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,2003,Dec,Murder,Solved,Tower Hamlets,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,2003,Mar,Murder,Unsolved,Redbridge,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Redbridge,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jun,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,2003,Jul,Murder,Solved,Redbridge,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2003,Aug,Murder,Solved,Redbridge,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,2003,Oct,Murder,Solved,Redbridge,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,2003,May,Murder,Solved,Hackney,Black
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,2003,Jun,Murder,Solved,Hackney,Black
1,13 to 19,Male,Shooting,Not Domestic Abuse,2003,Jun,Murder,Solved,Hackney,Black
1,65 and over,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Unsolved,Hackney,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Hackney,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Hackney,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Hackney,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2003,Aug,Murder,Solved,Hackney,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Hackney,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2003,Oct,Murder,Solved,Hackney,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,2003,Oct,Murder,Solved,Hackney,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2003,Oct,Murder,Solved,Hackney,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Hackney,White
1,65 and over,Female,Knife or Sharp Implement,Domestic Abuse,2003,Oct,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2003,Nov,Murder,Solved,Hackney,White
1,0 to 12,Female,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Murder,Unsolved,Hackney,Black
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,2003,Dec,Murder,Solved,Hackney,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Shooting,Not Domestic Abuse,2003,Mar,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Waltham Forest,White
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,2003,Jun,Murder,Solved,Waltham Forest,White
1,13 to 19,Male,Shooting,Not Domestic Abuse,2003,Jul,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2003,Aug,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,2003,Oct,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Dec,Murder,Unsolved,Waltham Forest,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,2003,Feb,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female,Knife or Sharp Implement,Not Domestic Abuse,2003,Feb,Murder,Solved,Barking & Dagenham,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,2003,Apr,Murder,Solved,Barking & Dagenham,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Murder,Solved,Barking & Dagenham,Black
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Barking & Dagenham,Asian
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Manslaughter,Solved,Barking & Dagenham,Black
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,2003,Mar,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Enfield,White
1,20 to 24,Male,Blunt Implement,Not Domestic Abuse,2003,Jun,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,2003,Oct,Murder,Solved,Enfield,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Enfield,White
1,55 to 64,Male,Blunt Implement,Domestic Abuse,2003,Nov,Murder,Solved,Enfield,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2003,Dec,Murder,Solved,Enfield,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jan,Murder,Unsolved,Newham,Asian
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Feb,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Apr,Murder,Solved,Newham,Asian
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Jul,Murder,Solved,Newham,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,2003,Jul,Murder,Solved,Newham,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,2003,Jul,Murder,Solved,Newham,Asian
1,45 to 54,Male,Shooting,Not Domestic Abuse,2003,Aug,Murder,Solved,Newham,Asian
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Aug,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Sep,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Oct,Murder,Solved,Newham,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jul,Murder,Solved,Newham,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2003,May,Murder,Solved,Havering,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Havering,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2003,Nov,Murder,Solved,Havering,White
1,20 to 24,Male,"Physical Assault, no weapon",Not Domestic Abuse,2003,Nov,Murder,Solved,Havering,White
1,65 and over,Female,Blunt Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Westminster,White
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Mar,Murder,Solved,Westminster,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic Abuse,2003,Apr,Murder,Solved,Westminster,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic Abuse,2003,Jan,Murder,Solved,Hammersmith & Fulham,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Feb,Murder,Unsolved,Hammersmith & Fulham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Aug,Murder,Solved,Hammersmith & Fulham,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Nov,Murder,Unsolved,Hammersmith & Fulham,Other
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,2003,Jan,Murder,Solved,Westminster,White
1,45 to 54,Female,Not known/Not Recorded,Domestic Abuse,2003,Oct,Murder,Solved,Hammersmith & Fulham,White
1,35 to 44,Male,Shooting,Not Domestic Abuse,2003,Jun,Murder,Unsolved,Westminster,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2003,Jul,Manslaughter,Solved,Westminster,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic Abuse,2003,Feb,Manslaughter,Solved,Westminster,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2003,Jan,Murder,Solved,Westminster,White
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,2003,May,Murder,Unsolved,Kensington & Chelsea,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,2004,Apr,Murder,Solved,Wandsworth,White
1,13 to 19,Male,Blunt Implement,Not Domestic Abuse,2004,Apr,Murder,Solved,Wandsworth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2004,Nov,Murder,Solved,Wandsworth,Black
1,35 to 44,Female,Not known/Not Recorded,Domestic Abuse,2004,Jun,Murder,Solved,Kingston Upon Thames,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2004,Jun,Murder,Unsolved,Kingston Upon Thames,Other
1,35 to 44,Female,Other Methods of Killing,Domestic Abuse,2004,Apr,Murder,Solved,Hounslow,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Aug,Murder,Solved,Hounslow,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Oct,Murder,Solved,Hounslow,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,2004,Jan,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,2004,Feb,Murder,Solved,Richmond Upon Thames,Asian
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,2004,Aug,Murder,Solved,Richmond Upon Thames,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Sep,Murder,Solved,Richmond Upon Thames,White
1,55 to 64,Female,Other Methods of Killing,Not Domestic Abuse,2004,Mar,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic Abuse,2004,Mar,Murder,Solved,Hillingdon,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2004,Apr,Manslaughter,Unsolved,Hillingdon,Asian
1,20 to 24,Male,Other Methods of Killing,Not Domestic Abuse,2004,Aug,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Jan,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2004,Jan,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Apr,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,May,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,2004,Jun,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,2004,Jun,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2004,Oct,Murder,Solved,Lambeth,White
1,45 to 54,Male,Shooting,Not Domestic Abuse,2004,Nov,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Dec,Murder,Solved,Lambeth,Black
1,25 to 34,Female,Other Methods of Killing,Domestic Abuse,2004,Jan,Murder,Solved,Merton,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,2004,Mar,Murder,Solved,Brent,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic Abuse,2004,May,Murder,Solved,Brent,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic Abuse,2004,May,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,Not Domestic Abuse,2004,May,Murder,Solved,Brent,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic Abuse,2004,Jun,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,2004,Jul,Murder,Solved,Brent,Black
